rv,jumps,dts,vix,rets,c,vixann
0.00011224,9.46351854782821e-05,['2/01/1990'],9.828624338624338e-05,0.01767,1.76021135495834e-05,17.24
3.681e-05,0.0,['3/01/1990'],0.00010941669973544974,-0.002588908120090351,3.68098229845408e-05,18.19
8.8705e-05,0.0,['4/01/1990'],0.00012215886243386242,-0.00867842293428765,8.870494501734e-05,19.22
7.951e-05,0.0,['5/01/1990'],0.00013373416005291004,-0.009776022253408852,7.95103067479949e-05,20.11
3.5004e-05,0.0,['8/01/1990'],0.0001357366402116402,0.00450432070788257,3.50043532176459e-05,20.26
4.7775e-05,0.0,['9/01/1990'],0.0001629761904761905,-0.011856666386950593,4.77749068474683e-05,22.2
7.5851e-05,0.0,['10/01/1990'],0.00016651904761904766,-0.006629097497291072,7.58506966028273e-05,22.44
3.747e-05,0.0,['11/01/1990'],0.00013293733465608468,0.0035065568236578464,3.74700886967013e-05,20.05
0.00024393,0.0,['12/01/1990'],0.0002007703703703704,-0.024984595648819732,0.000243927188479035,24.64
4.0343e-05,0.0,['15/01/1990'],0.00022942976190476195,-0.00865678370822312,4.03430790047961e-05,26.34
0.00012257,0.0,['16/01/1990'],0.00019334404761904762,0.011066140224280183,0.000122567802477689,24.18
8.9826e-05,0.0,['17/01/1990'],0.00019302433862433864,-0.009879900464774142,8.98257620170709e-05,24.16
0.00016785,0.0,['18/01/1990'],0.0001959112433862434,0.0023386976126816873,0.000167852338535979,24.34
2.0799e-05,0.0,['19/01/1990'],0.00016741071428571431,0.0028346196675388922,2.07985824451308e-05,22.5
0.00013372,0.0,['22/01/1990'],0.00023574404761904765,-0.026198980265093916,0.00013372121552215,26.7
0.00012142,0.0,['23/01/1990'],0.00020207619047619047,0.0037160724948780786,0.000121419092923928,24.72
0.00060256,0.00040451576443917,['24/01/1990'],0.00021317860449735453,-0.004079356587030343,0.000198045096922835,25.39
9.4612e-05,0.0,['25/01/1990'],0.0002172278108465608,-0.012737473000482292,9.46119028805923e-05,25.63
0.00015852,0.0,['26/01/1990'],0.00022838571428571437,-0.0008590538664151856,0.000158520808150392,26.28
0.00018189,0.0,['29/01/1990'],0.00023117513227513236,-0.0018433184942893352,0.000181885995667841,26.44
0.0001429,0.0,['30/01/1990'],0.0002455563822751323,-0.006849975872734577,0.000142902358139866,27.25
7.1179e-05,0.0,['31/01/1990'],0.00021267513227513231,0.018710480499808543,7.11794996848036e-05,25.36
2.9397e-05,0.0,['1/02/1990'],0.00020453601190476193,-0.0008816332065123741,2.93972921120519e-05,24.87
3.2823e-05,0.0,['2/02/1990'],0.000195589417989418,0.006457405227765137,3.28234719628569e-05,24.32
1.2637e-05,0.0,['5/02/1990'],0.0001991440476190476,0.0028064052699518353,1.26366396383509e-05,24.54
4.6485e-05,0.0,['6/02/1990'],0.00020158601190476192,-0.0066212392887240994,4.64849465954933e-05,24.69
0.00016922,0.0,['7/02/1990'],0.00019510717592592595,0.012330389411249277,0.000169217171519207,24.29
5.2555e-05,0.0,['8/02/1990'],0.00018684289021164021,-0.0023698470691350696,5.25549610244391e-05,23.77
4.9092e-05,0.0,['9/02/1990'],0.0001855873346560847,0.001980258080585153,4.90917284003343e-05,23.69
7.4685e-05,0.0,['12/02/1990'],0.0001965556878306878,-0.010667571402967759,7.46852145141964e-05,24.38
6.095e-05,0.0,['13/02/1990'],0.0001866857142857143,0.00284374718945263,6.09496835544996e-05,23.76
2.0751e-05,0.0,['14/02/1990'],0.00016078125000000004,0.0029862924324091703,2.07507868884868e-05,22.05
1.9497e-05,0.0,['15/02/1990'],0.0001284669642857143,0.008637030749946907,1.9497387331608e-05,19.71
2.5215e-05,1.47390741425858e-05,['16/02/1990'],0.0001427937830687831,-0.006500824260094211,1.04762705938009e-05,20.78
0.00016208,0.0,['20/02/1990'],0.0001716033068783069,-0.014318175320153172,0.000162078443869851,22.78
0.00012917,8.73251351684603e-05,['21/02/1990'],0.00018873416005291005,-0.0009761157472105698,4.18427278643465e-05,23.89
9.7686e-05,0.0,['22/02/1990'],0.00016800648148148148,-0.006030292085104756,9.76861740224341e-05,22.54
7.8421e-05,0.0,['23/02/1990'],0.0001855873346560847,-0.004770340661183158,7.84207118622448e-05,23.69
7.0212e-05,0.0,['26/02/1990'],0.00018355608465608463,0.013847836249921211,7.02115887464571e-05,23.56
5.4604e-05,0.0,['27/02/1990'],0.00017025003306878308,0.004826015163916412,5.46041349092708e-05,22.69
5.0877e-05,0.0,['28/02/1990'],0.00015990744047619047,0.004923365680086907,5.0877068951782e-05,21.99
3.2383e-05,0.0,['1/03/1990'],0.00015860119047619045,0.002557815516667666,3.23832546401067e-05,21.9
3.6635e-05,0.0,['2/03/1990'],0.00015059378306878307,0.00837977011065772,3.6634774366857e-05,21.34
3.2367e-05,0.0,['5/03/1990'],0.00016048971560846565,-0.005378927623497666,3.2367194117623e-05,22.03
4.3355e-05,0.0,['6/03/1990'],0.00013965029761904763,0.012476526724257104,4.33553653872951e-05,20.55
2.8609e-05,0.0,['7/03/1990'],0.00012063822751322752,-0.002904222050787949,2.86086462209243e-05,19.1
4.2332e-05,0.0,['8/03/1990'],0.00012885833333333333,0.00980486872045147,4.23323862644279e-05,19.74
2.6548e-05,0.0,['9/03/1990'],0.00013627314814814817,-0.006900646669663499,2.6548307271302e-05,20.3
